background	rust	chlorosis	leaf
226, 231, 232	0, 101, 143	73, 139, 121	45, 92, 78
224, 229, 230	7, 100, 145	72, 136, 120	33, 85, 67
224, 227, 232	15, 94, 97	76, 152, 135	64, 114, 96
226, 230, 234	17, 96, 111	77, 151, 135	51, 105, 85
227, 231, 235	33, 104, 134	71, 146, 130	40, 95, 75
227, 231, 235	51, 119, 160	59, 136, 119	50, 104, 84
227, 231, 235	6, 90, 92	57, 131, 118	102, 135, 128
228, 232, 237	13, 94, 107	63, 136, 121	45, 89, 77
229, 233, 238	29, 104, 131	60, 133, 116	52, 99, 84
229, 233, 238	48, 117, 158	61, 130, 114	53, 103, 85
225, 229, 233	2, 90, 91	87, 163, 144	50, 100, 82
225, 229, 233	0, 86, 97	77, 152, 135	83, 135, 115
225, 229, 233	17, 96, 122	63, 139, 123	48, 102, 82
226, 230, 234	42, 112, 153	59, 138, 121	73, 125, 106
220, 223, 229	9, 95, 94	61, 134, 121	86, 119, 112
221, 224, 229	0, 85, 95	65, 138, 123	23, 69, 57
223, 226, 231	14, 96, 120	59, 132, 115	61, 107, 93
223, 226, 231	48, 119, 157	58, 128, 111	53, 101, 83
248, 250, 252	71, 153, 143	77, 153, 135	49, 103, 83
232, 235, 239	50, 138, 138	61, 138, 119	54, 107, 87
236, 239, 241	19, 128, 135	55, 134, 115	57, 109, 92
244, 246, 246	0, 120, 138	57, 138, 119	57, 109, 92
250, 252, 253	65, 146, 143	67, 140, 128	61, 114, 94
249, 251, 252	41, 134, 137	69, 141, 127	61, 114, 94
253, 254, 254	13, 123, 137	63, 135, 118	55, 107, 90
248, 249, 249	0, 119, 143	60, 129, 113	47, 100, 82
249, 251, 253	55, 137, 137	71, 147, 129	67, 120, 100
250, 252, 254	34, 129, 138	59, 137, 117	59, 113, 93
253, 254, 255	11, 121, 142	59, 137, 118	54, 106, 89
239, 243, 244	0, 118, 149	53, 134, 115	41, 94, 77
254, 255, 255	46, 131, 135	64, 138, 125	52, 104, 87
254, 255, 255	31, 128, 142	67, 140, 125	45, 98, 80
246, 248, 249	11, 122, 149	65, 138, 121	62, 114, 96
242, 247, 248	0, 114, 150	64, 132, 117	56, 108, 91
239, 245, 246	65, 125, 137	52, 140, 120	36, 89, 69
252, 255, 255	54, 124, 142	47, 135, 116	37, 86, 67
242, 246, 247	56, 131, 156	40, 130, 111	45, 93, 74
223, 229, 230	59, 136, 166	46, 135, 115	42, 95, 74
222, 227, 228	62, 124, 136	58, 145, 125	54, 104, 86
240, 245, 246	51, 120, 138	55, 142, 123	53, 101, 83
243, 247, 249	50, 125, 148	52, 140, 120	46, 94, 77
243, 248, 249	49, 126, 156	53, 142, 121	31, 84, 66
238, 242, 244	63, 126, 136	60, 146, 127	43, 93, 76
232, 237, 238	51, 123, 140	60, 146, 127	61, 108, 91
228, 233, 234	54, 129, 152	59, 147, 127	40, 89, 71
232, 235, 237	56, 133, 161	56, 144, 125	30, 83, 65
248, 252, 253	60, 123, 133	59, 143, 125	36, 81, 67
236, 240, 242	48, 120, 136	53, 141, 122	39, 90, 72
242, 246, 246	50, 127, 149	50, 139, 120	36, 88, 70
234, 236, 237	53, 134, 161	56, 144, 124	46, 97, 79
244, 249, 250	63, 130, 171	67, 153, 144	39, 88, 70
245, 249, 251	58, 125, 174	53, 144, 127	46, 94, 77
243, 248, 250	33, 108, 157	61, 154, 129	38, 87, 69
248, 252, 254	11, 99, 147	65, 154, 130	41, 92, 75
232, 236, 238	62, 127, 171	58, 144, 135	48, 92, 78
237, 242, 243	58, 124, 173	47, 139, 121	35, 87, 69
237, 242, 243	38, 110, 160	46, 139, 116	35, 87, 69
249, 252, 253	13, 96, 146	62, 152, 128	60, 109, 92
237, 240, 241	55, 120, 162	51, 135, 127	41, 86, 71
241, 245, 247	53, 118, 168	63, 149, 134	40, 91, 74
236, 242, 243	44, 115, 164	59, 147, 126	43, 93, 76
246, 249, 250	14, 96, 146	49, 139, 116	40, 91, 74
244, 248, 249	49, 114, 153	65, 146, 140	82, 138, 113
244, 249, 251	47, 112, 161	57, 141, 130	49, 107, 81
244, 246, 247	44, 113, 162	54, 140, 122	50, 104, 84
239, 244, 244	20, 98, 147	55, 142, 120	63, 116, 96
216, 220, 225	0, 69, 103	83, 145, 135	43, 88, 74
216, 220, 225	0, 77, 124	87, 150, 138	46, 97, 79
217, 220, 225	0, 74, 131	66, 127, 116	44, 94, 77
219, 223, 227	0, 66, 130	92, 152, 142	23, 77, 59
221, 224, 229	0, 73, 110	67, 133, 114	62, 118, 93
223, 226, 231	0, 73, 125	74, 138, 120	48, 105, 80
221, 224, 229	4, 77, 140	55, 116, 101	42, 97, 77
223, 226, 231	8, 86, 151	88, 147, 135	39, 93, 73
219, 222, 227	0, 64, 103	69, 133, 113	68, 123, 98
221, 225, 230	0, 61, 112	89, 152, 132	52, 108, 82
214, 218, 223	13, 75, 137	82, 142, 127	59, 109, 90
211, 214, 219	21, 89, 154	79, 137, 124	65, 116, 96
217, 221, 226	0, 62, 103	71, 134, 113	64, 120, 95
217, 221, 226	0, 56, 107	83, 145, 126	54, 109, 86
217, 220, 225	17, 76, 136	81, 139, 123	66, 117, 97
214, 218, 223	27, 93, 157	91, 149, 134	51, 102, 82
212, 218, 222	15, 103, 116	106, 170, 153	63, 133, 112
219, 225, 229	13, 99, 116	77, 140, 124	57, 126, 106
224, 230, 234	19, 100, 129	60, 127, 110	52, 125, 103
218, 224, 227	20, 98, 136	72, 139, 121	55, 131, 109
218, 224, 227	15, 105, 118	83, 149, 132	67, 136, 116
226, 232, 236	8, 98, 115	77, 143, 126	69, 137, 117
229, 235, 239	39, 114, 143	70, 136, 119	59, 131, 110
228, 234, 237	34, 111, 148	57, 125, 108	50, 125, 104
226, 233, 235	10, 103, 114	82, 151, 137	54, 126, 104
223, 230, 233	7, 101, 116	69, 137, 123	64, 132, 112
228, 235, 238	59, 136, 160	63, 131, 116	63, 134, 114
235, 241, 245	38, 113, 149	72, 140, 125	53, 128, 107
201, 208, 212	0, 90, 108	88, 157, 143	50, 121, 100
203, 210, 214	12, 100, 120	87, 157, 142	52, 121, 102
208, 214, 218	77, 152, 180	76, 146, 132	57, 129, 108
223, 228, 232	47, 122, 159	66, 137, 122	55, 131, 109
233, 238, 239	49, 150, 132	79, 139, 126	32, 124, 98
232, 237, 238	51, 154, 136	79, 138, 122	57, 144, 118
231, 236, 237	49, 148, 131	83, 143, 129	24, 117, 92
231, 236, 237	50, 146, 129	81, 142, 128	43, 131, 106
226, 231, 232	40, 142, 142	73, 130, 115	40, 131, 104
226, 231, 232	41, 145, 146	101, 159, 143	30, 124, 96
224, 229, 230	37, 139, 139	71, 129, 116	31, 122, 97
225, 230, 231	37, 137, 134	77, 139, 125	39, 129, 104
219, 223, 225	41, 143, 161	86, 145, 129	43, 135, 106
222, 227, 228	27, 131, 152	97, 155, 140	36, 128, 100
225, 230, 231	12, 121, 138	77, 135, 121	35, 126, 100
226, 231, 232	9, 119, 132	86, 147, 133	35, 126, 101
218, 223, 224	0, 97, 134	81, 140, 123	31, 123, 95
222, 227, 228	0, 95, 136	85, 144, 127	52, 141, 114
227, 232, 233	0, 102, 135	71, 131, 118	41, 130, 105
228, 233, 234	0, 106, 134	93, 154, 140	35, 126, 101
226, 231, 232	12, 75, 118	64, 139, 118	51, 133, 108
240, 245, 246	41, 98, 148	48, 125, 104	45, 127, 102
245, 250, 251	25, 85, 140	54, 130, 109	27, 114, 88
228, 233, 234	0, 39, 96	41, 119, 97	42, 126, 101
213, 218, 219	71, 119, 167	56, 130, 108	56, 135, 112
226, 231, 232	16, 75, 128	41, 117, 95	51, 130, 106
240, 245, 246	0, 70, 128	49, 125, 102	36, 120, 94
234, 239, 240	1, 45, 104	46, 123, 100	55, 137, 112
227, 232, 233	106, 149, 199	53, 129, 105	47, 126, 102
230, 235, 236	22, 75, 129	44, 120, 96	40, 122, 98
233, 238, 239	0, 46, 104	52, 127, 103	42, 124, 99
230, 235, 236	1, 56, 115	48, 124, 100	60, 142, 116
237, 242, 243	5, 60, 114	50, 122, 105	36, 116, 92
222, 226, 228	56, 101, 152	53, 128, 110	39, 119, 95
214, 219, 220	0, 36, 91	50, 129, 109	33, 116, 92
215, 220, 221	2, 64, 120	47, 126, 107	48, 131, 106
241, 246, 247	53, 112, 125	50, 124, 102	41, 110, 93
241, 246, 247	50, 111, 133	54, 129, 106	55, 124, 104
246, 250, 251	56, 122, 151	62, 137, 114	59, 127, 105
252, 255, 255	50, 116, 153	40, 114, 91	57, 126, 103
236, 240, 242	52, 110, 126	53, 122, 103	33, 103, 87
239, 245, 245	48, 110, 133	38, 113, 94	46, 116, 96
